,fartsdempere,trafikk_mengde,fotobokser,vegskulder,svingerestriksjon,vilt_fare,fartsgrense,trafikk_ulykke
0100 Fg109 hp162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg109 hp163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg109 hp164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg109 hp165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg109 hp166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg109 hp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0100 Fg109 hp202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg109 hp203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg109 hp3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg109 hp4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg110 hp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg110 hp170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg110 hp172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0100 Fg110 hp204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg110 hp205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0100 Fg110 hp5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg112 hp201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg112 hp50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg113 hp201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg114 hp170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg114 hp204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg114 hp4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg115 hp150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg115 hp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg115 hp201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg115 hp202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg115 hp205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0100 Fg115 hp207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg115 hp3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg115 hp5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg116 hp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg116 hp150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg116 hp154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg116 hp155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg116 hp201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg117 hp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg117 hp150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg117 hp152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg117 hp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0100 Fg117 hp203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg117 hp3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg118 hp1,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
0100 Fg118 hp150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg118 hp151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg118 hp153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg118 hp160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg118 hp162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg118 hp165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg118 hp170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg118 hp175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg118 hp180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg118 hp181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg118 hp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg118 hp201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg118 hp202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg118 hp204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg118 hp205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg118 hp206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg118 hp207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg118 hp209,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
0100 Fg118 hp251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg118 hp253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg118 hp3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg118 hp4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg118 hp5,0.0,0.0,0.0,0.0,0.0,0.0,26.666666666666668,0.0
0100 Fg118 hp6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg118 hp7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg118 hp9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0100 Fg119 hp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0100 Fg119 hp160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg119 hp201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg119 hp203,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0100 Fg119 hp3,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
0100 Fg120 hp150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg120 hp201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg120 hp204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg120 hp206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg120 hp208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg120 hp4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg120 hp5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg120 hp6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg120 hp8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg121 hp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg122 hp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
